Name;MmSize;InchSize;Ratio
# http://www.papersizes.org;;;
;;;
Small Post Quarto;7.0 x 9.0 in;177.8 x 228.6 mm;1:1.2857
Large Post Octavo;5.0 x 8.0 in;127.0 x 203.2 mm;1:1.6
Large Post Quarto;8.0 x 10.0 in;203.2 x 254.0 mm;1:1.25
;;;
Uncut Writing Paper Sizes;;;
;;;
Pott;12.5 x 15.0 in;317.5 x 381.0 mm;1:1.2
Double Pott;15.0 x 25.0 in;381.0 x 635.0 mm;1:1.6667
Foolscap;13.25 x 16.5 in;336.6 x 419.1 mm;1:1.2453
Double Foolscap;16.5 x 26.5 in;419.1 x 673.1 mm;1:1.6061
Foolscap and Third;13.25 x 22.0 in;336.6 x 558.8 mm;1:1.6604
Foolscap and Half;13.25 x 24.75 in;336.6 x 628.7 mm;1:1.8679
Pinched Post;14.5 x 18.5 in;368.3 x 469.9 mm;1:1.2759
Post;15.25 x 19.0 in;387.4 x 482.6 mm;1:1.2459
Double Post;19.0 x 30.5 in;482.6 x 774.7 mm;1:1.6053
Large Post;16.5 x 20.75 in;419.1 x 527.1 mm;1:1.2576
Double Large Post;20.75 x 33.0 in;527.1 x 838.2 mm;1:1.5904
Copy;16.25 x 20.0 in;412.8 x 508.0 mm;1:1.2308
Medium;18.0 x 20.5 in;457.2 x 520.7 mm;1:1.1389
;;;
Canadian Standard Paper Sizes;;;
;;;
P1;560 x 860 mm;22.0 x 33.9 in;1:1.5357
P2;430 x 560 mm;16.9 x 22.0 in;1:1.3023
P3;280 x 430 mm;11.0 x 16.9 in;1:1.5357
P4;215 x 280 mm;8.5 x 11.0 in;1:1.3023
P5;140 x 210 mm;5.5 x 8.3 in;1:1.5
P6;105 x 140 mm;4.1 x 5.5 in;1:1.3333
;;;
Commercial Envelope Sizes;;;
;;;
6¼;6.0 x 3.5;152.4 x 88.9
6¾;6.5 x 3.625;165.1 x 92.1
7;6.75 x 3.75;171.5 x 95.3
7¾ - Monarch;7.5 x 3.875;190.5 x 98.4
8 5/8;8.625 x 3.625;219.1 x 92.1
9;8.875 x 3.875;225.4 x 98.4
10;9.5 x 4.125;241.3 x 104.8
11;10.375 x 4.5;263.5 x 114.3
12;11.0 x 4.75;279.4 x 120.7
14;11.5 x 5.0;292.1 x 127.0
16;12.0 x 6.0;304.8 x 152.4
;;;
Announcement Envelope Sizes;;;
;;;
A1;3.625 x 5.125;92.1 x 130.2
A2 - Lady Grey;5.75 x 4.375;146.1 x 111.1
A4;6.25 x 4.25;158.7 x 108.0
A6 - Thompson's Standard;6.5 x 4.75;165.1 x 120.7
A7 - Besselheim;7.25 x 5.25;184.2 x 133.4
A8 - Carr's;8.125 x 5.5;206.4 x 139.7
A9 - Diplomat;8.75 x 5.75;222.3 x 146.1
A10 - Willow;9.5 x 6.0;241.3 x 152.4
A Long;8.875 x 3.875;225.4 x 98.4
;;;
Catalog Envelope Sizes;;;
;;;
1;9.0 x 6.0;228.6 x 152.4
1¾;9.5 x 6.5;241.3 x 165.1
3;10.0 x 7.0;254.0 x 177.8
6;10.5 x 7.5;1266.7 x 190.5
8;11.25 x 8.25;285.8 x 209.6
9¾;11.25 x 8.75;285.8 x 222.3
10½;12.0 x 9.0;304.8 x 228.6
12½;12.5 x 9.5;317.5 x 241.3
13½;13.0 x 10.0;330.2 x 254.0
14½;14.5 x 11.5;368.3 x 292.1
15;15.0 x 10.0;381.0 x 254.0
15½;15.5 x 12.0;393.7 x 304.8
